sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
Female,20,Less than 25,Other,0,0,0,0,1,M,Aggravated Assault W/Dead Weap,5
Male,44,25 - 45,Hispanic,0,0,0,0,0,M,Driving Under The Influence,1
Male,31,25 - 45,Caucasian,0,0,0,6,1,M,Battery,5
Male,29,25 - 45,African-American,0,0,0,3,1,F,arrest case no charge,2
Male,48,Greater than 45,Caucasian,0,0,0,13,96,F,Child Abuse,7
Female,30,25 - 45,African-American,0,0,0,0,1,M,Battery,2
Female,25,25 - 45,Caucasian,0,0,0,2,25,F,arrest case no charge,5
Male,40,25 - 45,African-American,0,0,0,3,1,F,Driving While License Revoked,2
Female,49,Greater than 45,Caucasian,0,0,0,3,226,F,Resist Officer w/Violence,2
Male,33,25 - 45,Caucasian,0,0,0,1,1,M,Susp Drivers Lic 1st Offense,3
Male,26,25 - 45,Caucasian,0,0,0,5,1,F,Threat Public Servant,5
Male,31,25 - 45,Hispanic,0,1,0,1,0,M,Possess Cannabis/20 Grams Or Less,3
Male,61,Greater than 45,Caucasian,0,0,0,1,1,M,DUI Property Damage/Injury,1
Male,30,25 - 45,Caucasian,0,0,0,2,1,F,Use Of 2 Way Device To Fac Fel,4
Male,62,Greater than 45,Caucasian,0,0,0,0,1,M,Assault,1
Female,27,25 - 45,Caucasian,0,0,0,4,13,M,Leave Acc/Attend Veh/More $50,8
Male,48,Greater than 45,Caucasian,0,0,0,9,1,F,Grand Theft (Motor Vehicle),6
Female,40,25 - 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,2
Male,24,Less than 25,Caucasian,0,0,0,0,1,F,Possession Of Methamphetamine,4
Male,22,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,4
Male,30,25 - 45,African-American,0,0,0,4,1,M,Battery,8
Male,63,Greater than 45,Caucasian,0,0,0,0,1,M,DUI Property Damage/Injury,1
Male,46,Greater than 45,Hispanic,0,0,0,0,399,M,arrest case no charge,1
Male,33,25 - 45,African-American,0,0,0,4,1,F,Possession of Cocaine,10
Female,21,Less than 25,African-American,1,0,0,1,79,F,Robbery Sudd Snatch No Weapon,6
Male,43,25 - 45,Caucasian,0,0,0,0,5,M,Driving Under The Influence,4
Male,26,25 - 45,African-American,0,0,0,3,1,F,Pos Cannabis W/Intent Sel/Del,10
Male,51,Greater than 45,African-American,0,0,0,1,17,F,Neglect Child / No Bodily Harm,1
Male,39,25 - 45,Caucasian,0,0,0,3,1,F,arrest case no charge,1
Female,30,25 - 45,Hispanic,0,0,0,0,1,M,Battery,3
Male,32,25 - 45,African-American,0,0,0,14,1,F,Felony Driving While Lic Suspd,8
Male,22,Less than 25,African-American,0,0,0,0,2,M,Petit Theft,6
Male,59,Greater than 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,1
Male,38,25 - 45,African-American,0,5,0,37,1,M,arrest case no charge,7
Male,23,Less than 25,African-American,0,0,0,2,1,F,arrest case no charge,6
Male,42,25 - 45,African-American,0,0,0,0,0,M,Battery,1
Male,20,Less than 25,African-American,1,0,0,1,37,F,arrest case no charge,3
Male,38,25 - 45,African-American,0,0,0,2,0,F,Burglary Dwelling Assault/Batt,7
Female,34,25 - 45,Caucasian,0,0,0,2,1,F,Possession of Cannabis,3
Female,36,25 - 45,African-American,0,0,0,7,1,F,Criminal Mischief,3
Male,35,25 - 45,Caucasian,0,0,0,7,86,F,Sexual Battery / Vict 12 Yrs +,4
Male,36,25 - 45,African-American,0,0,0,0,1,M,Battery,3
Male,31,25 - 45,African-American,0,0,0,1,15,F,Felony Battery (Dom Strang),1
Female,28,25 - 45,African-American,0,0,0,3,1,F,arrest case no charge,4
Male,28,25 - 45,African-American,0,0,0,1,0,F,"Poss3,4 Methylenedioxymethcath",2
Male,60,Greater than 45,Caucasian,0,0,0,3,120,F,Resist Officer w/Violence,1
Male,43,25 - 45,African-American,0,0,0,0,1,F,Deliver Cannabis,4
Male,40,25 - 45,African-American,0,0,0,1,1,F,arrest case no charge,1
Male,31,25 - 45,African-American,0,2,0,15,1,F,Possession of Cocaine,9
Male,54,Greater than 45,African-American,0,0,0,6,1,F,Possession of Cocaine,7
Male,26,25 - 45,African-American,0,0,0,1,624,F,arrest case no charge,6
Male,24,Less than 25,African-American,0,0,0,17,1,F,arrest case no charge,9
Male,41,25 - 45,Hispanic,0,0,0,0,3,F,Escape,1
Male,21,Less than 25,African-American,0,0,1,1,1,F,arrest case no charge,9
Female,29,25 - 45,Hispanic,0,0,0,1,1,F,Poss Contr Subst W/o Prescript,2
Male,22,Less than 25,African-American,0,0,1,0,1,F,Uttering a Forged Instrument,3
Male,52,Greater than 45,Hispanic,0,0,0,9,1,F,Felony Petit Theft,7
Female,40,25 - 45,Other,0,0,0,0,1,F,Grand Theft in the 3rd Degree,1
Female,37,25 - 45,Caucasian,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Male,21,Less than 25,Other,0,0,0,1,1,F,Grand Theft in the 3rd Degree,4
Female,45,Greater than 45,African-American,0,0,0,1,1,F,Aggrav Battery w/Deadly Weapon,4
Male,29,25 - 45,African-American,0,0,0,1,0,M,DUI/Property Damage/Persnl Inj,2
Male,46,Greater than 45,African-American,0,0,0,10,1,F,Felony Battery (Dom Strang),5
Male,21,Less than 25,Caucasian,0,1,2,1,1,F,Burglary Conveyance Unoccup,8
Male,50,Greater than 45,African-American,1,0,0,7,1154,M,Battery,9
Male,35,25 - 45,Caucasian,0,0,0,6,10,F,Battery on a Person Over 65,5
Male,52,Greater than 45,African-American,0,0,0,1,2,M,Viol Injunct Domestic Violence,1
Male,48,Greater than 45,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Female,29,25 - 45,African-American,0,0,3,9,1,M,Petit Theft $100- $300,8
Male,48,Greater than 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,31,25 - 45,African-American,0,0,0,10,8,F,arrest case no charge,6
Male,21,Less than 25,Caucasian,0,0,0,3,1,F,Pos Cannabis W/Intent Sel/Del,8
Male,32,25 - 45,Other,0,0,0,0,0,F,Tamper With Witness/Victim/CI,1
Male,47,Greater than 45,African-American,0,0,0,0,1,M,Battery,5
Male,62,Greater than 45,African-American,0,0,0,1,613,M,Possess Drug Paraphernalia,7
Male,21,Less than 25,African-American,1,2,2,3,1,F,Criminal Mischief,10
Male,35,25 - 45,African-American,3,0,0,13,1,F,Possession of Cocaine,10
Male,46,Greater than 45,African-American,0,0,0,3,22,M,Operating W/O Valid License,1
Male,34,25 - 45,African-American,0,0,0,5,1,F,Grand Theft in the 3rd Degree,4
Male,52,Greater than 45,African-American,0,0,0,2,5,F,arrest case no charge,1
Female,39,25 - 45,African-American,0,1,0,7,92,F,Possession of Cocaine,2
Male,21,Less than 25,Caucasian,0,0,0,0,1,M,Battery,8
Male,53,Greater than 45,Caucasian,0,0,0,1,3,M,Aggravated Assault W/Dead Weap,1
Female,19,Less than 25,Caucasian,0,0,0,0,1,F,Felony Battery w/Prior Convict,3
Male,22,Less than 25,African-American,0,0,0,0,1,M,Open Carrying Of Weapon,6
Male,45,Greater than 45,African-American,0,0,0,1,1,F,arrest case no charge,3
Female,27,25 - 45,Caucasian,0,0,0,0,1,F,Burglary With Assault/battery,2
Male,25,25 - 45,Caucasian,0,0,0,0,1,M,Battery,2
Male,30,25 - 45,Caucasian,0,0,0,0,1,F,Felony DUI (level 3),4
Male,31,25 - 45,African-American,0,0,0,2,1,F,Driving While License Revoked,5
Male,28,25 - 45,Caucasian,0,0,0,3,1,F,arrest case no charge,3
Male,36,25 - 45,African-American,0,0,0,3,1,M,Battery,2
Male,27,25 - 45,African-American,0,0,0,7,1,F,arrest case no charge,5
Male,42,25 - 45,African-American,0,0,0,1,0,F,Possession of Cocaine,2
Male,35,25 - 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,5
Female,33,25 - 45,Caucasian,0,0,0,2,29,F,Poss Contr Subst W/o Prescript,2
Male,24,Less than 25,Hispanic,1,0,0,6,1,F,"Deliver 3,4 Methylenediox",10
Male,25,25 - 45,African-American,0,1,0,21,1,F,arrest case no charge,10
Female,42,25 - 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,21,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,6
Female,28,25 - 45,African-American,0,0,0,0,0,M,Battery,2
Male,27,25 - 45,African-American,0,0,0,25,50,F,arrest case no charge,10
Female,21,Less than 25,Caucasian,0,0,0,0,1,F,Burglary Unoccupied Dwelling,6
Male,26,25 - 45,Caucasian,0,0,0,0,0,M,Battery,6
Male,36,25 - 45,Caucasian,0,0,0,0,1,F,Felony Battery (Dom Strang),1
Male,23,Less than 25,African-American,0,0,0,1,398,M,Possess Cannabis/20 Grams Or Less,8
Male,49,Greater than 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,7
Male,29,25 - 45,African-American,0,0,0,11,69,F,Possession of Cocaine,8
Male,44,25 - 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,2
Male,28,25 - 45,Caucasian,0,0,0,1,26,M,Battery,3
Male,27,25 - 45,African-American,0,0,0,2,310,M,Driving License Suspended,6
Female,35,25 - 45,African-American,0,0,0,12,2,F,Possession Of Alprazolam,7
Male,36,25 - 45,African-American,0,0,0,19,217,M,Driving License Suspended,8
Male,46,Greater than 45,Caucasian,0,0,0,2,1017,M,Susp Drivers Lic 1st Offense,2
Male,34,25 - 45,African-American,0,0,0,3,1,F,Felony Driving While Lic Suspd,1
Male,45,Greater than 45,African-American,0,0,0,15,1,F,Driving While License Revoked,3
Male,28,25 - 45,African-American,0,0,0,9,1,F,Driving While License Revoked,3
Female,25,25 - 45,African-American,0,0,0,1,1,F,Aggrav Battery w/Deadly Weapon,3
Male,21,Less than 25,African-American,0,1,0,1,0,M,Assault,8
Male,48,Greater than 45,African-American,0,0,0,1,1,F,Hiring with Intent to Defraud,1
Male,37,25 - 45,Caucasian,0,0,0,1,1,M,Battery,2
Male,24,Less than 25,African-American,0,0,0,3,3,F,Possession of Cocaine,6
Male,37,25 - 45,Caucasian,0,0,0,1,1,M,Battery,1
Male,39,25 - 45,Caucasian,0,0,0,1,4,F,Solicit Deliver Cocaine,3
Male,24,Less than 25,Caucasian,0,0,1,1,1,F,Burglary Conveyance Unoccup,5
Male,49,Greater than 45,Other,0,0,0,2,1,F,arrest case no charge,1
Male,35,25 - 45,African-American,0,0,0,3,1120,F,Aggravated Battery / Pregnant,10
Male,23,Less than 25,African-American,0,0,0,1,1,F,arrest case no charge,2
Male,36,25 - 45,Caucasian,0,0,0,4,123,F,Possession of Cocaine,3
Male,43,25 - 45,Caucasian,0,0,0,5,1,F,Burglary Structure Unoccup,5
Male,28,25 - 45,African-American,0,0,0,6,1,M,arrest case no charge,8
Female,21,Less than 25,African-American,1,0,0,4,154,F,arrest case no charge,10
Male,53,Greater than 45,African-American,0,0,0,1,1,M,DUI Property Damage/Injury,2
Female,27,25 - 45,African-American,0,0,0,2,14,M,Petit Theft $100- $300,4
Male,39,25 - 45,Caucasian,0,0,0,0,1,M,Viol Injunct Domestic Violence,1
Male,47,Greater than 45,African-American,0,0,0,22,1,F,Felony Driving While Lic Suspd,7
Male,28,25 - 45,African-American,0,0,0,4,1,F,Uttering a Forged Instrument,2
Male,49,Greater than 45,Caucasian,0,0,0,7,1,F,Possession of Cocaine,6
Male,36,25 - 45,Caucasian,0,0,0,2,4,F,"Poss3,4 Methylenedioxymethcath",1
Female,24,Less than 25,African-American,0,0,0,1,1,F,arrest case no charge,9
Male,35,25 - 45,Hispanic,0,0,0,0,1,M,Battery,2
Male,23,Less than 25,African-American,0,0,0,3,1,F,Tampering With Physical Evidence,7
Male,26,25 - 45,African-American,0,0,0,2,1,F,Aggrav Battery w/Deadly Weapon,2
Male,31,25 - 45,African-American,0,0,0,7,1,F,Grand Theft in the 3rd Degree,4
Female,30,25 - 45,African-American,0,3,2,14,0,F,Carrying Concealed Firearm,10
Male,25,25 - 45,Caucasian,0,0,0,2,0,M,Driving Under The Influence,6
Male,24,Less than 25,African-American,0,0,0,6,1,F,Deliver Cocaine,10
Male,34,25 - 45,Hispanic,0,0,0,1,1,F,Grand Theft in the 3rd Degree,1
Male,26,25 - 45,African-American,0,0,0,2,29,M,Battery,4
Male,26,25 - 45,African-American,0,0,0,7,49,M,Carrying A Concealed Weapon,8
Male,60,Greater than 45,Hispanic,0,0,0,0,1,F,False Imprisonment,1
Female,20,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,5
Male,36,25 - 45,Caucasian,1,0,0,10,95,M,Battery,9
Male,23,Less than 25,Caucasian,0,0,0,0,0,F,"Poss3,4 Methylenedioxymethcath",3
Male,26,25 - 45,African-American,0,0,0,5,1,F,arrest case no charge,7
Male,40,25 - 45,Caucasian,0,0,0,4,1,M,Driving Under The Influence,1
Male,28,25 - 45,Other,0,0,0,1,1,F,Felony Driving While Lic Suspd,3
Male,49,Greater than 45,Hispanic,0,0,0,1,1,F,Grand Theft in the 3rd Degree,1
Male,46,Greater than 45,African-American,0,0,0,8,353,F,arrest case no charge,3
Male,19,Less than 25,African-American,0,1,0,1,0,F,arrest case no charge,10
Male,53,Greater than 45,Caucasian,0,0,0,1,12,F,arrest case no charge,1
Male,56,Greater than 45,Caucasian,0,0,0,5,45,F,Possession of Oxycodone,2
Female,24,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,3
Male,31,25 - 45,Hispanic,0,0,0,0,5,F,Stalking (Aggravated),1
Female,33,25 - 45,Caucasian,0,0,0,2,2,F,Possession of Hydromorphone,3
Male,26,25 - 45,Caucasian,0,3,0,8,1,F,Robbery / Weapon,10
Male,56,Greater than 45,Caucasian,0,0,0,1,65,M,Tamper With Witness/Victim/CI,1
Male,32,25 - 45,Caucasian,0,0,0,2,1,F,Possession Of Alprazolam,2
Male,25,25 - 45,Caucasian,0,0,0,0,0,F,arrest case no charge,2
Male,21,Less than 25,African-American,0,0,0,1,1,F,Grand Theft in the 3rd Degree,2
Male,38,25 - 45,African-American,0,0,0,3,1,F,Felony Battery w/Prior Convict,5
Male,23,Less than 25,Caucasian,0,0,0,0,4,F,Fleeing Or Attmp Eluding A Leo,2
Male,67,Greater than 45,African-American,0,0,0,4,173,M,Driving License Suspended,1
Male,20,Less than 25,Caucasian,0,0,1,0,1,F,arrest case no charge,6
Female,39,25 - 45,Caucasian,0,0,0,4,2,F,Aggravated Assault W/Dead Weap,1
Male,24,Less than 25,African-American,0,0,0,1,1,F,Burglary Unoccupied Dwelling,2
Male,23,Less than 25,Hispanic,0,0,0,0,1,F,Agg Fleeing/Eluding High Speed,2
Male,49,Greater than 45,African-American,0,0,0,3,1,F,arrest case no charge,4
Male,31,25 - 45,African-American,0,0,0,7,1,F,Poss of Firearm by Convic Felo,7
Male,20,Less than 25,African-American,0,0,0,1,26,F,Grand Theft in the 3rd Degree,6
Male,28,25 - 45,Caucasian,0,0,0,0,0,M,Battery,3
Male,67,Greater than 45,Caucasian,0,0,0,3,1,F,arrest case no charge,1
Male,33,25 - 45,Hispanic,0,0,0,0,0,F,Aggravated Battery / Pregnant,1
Male,20,Less than 25,Hispanic,1,0,0,1,189,F,arrest case no charge,8
Male,40,25 - 45,Caucasian,0,0,0,4,72,F,arrest case no charge,3
Male,52,Greater than 45,African-American,0,0,0,0,1,F,Solicitation On Felony 3 Deg,1
Male,45,Greater than 45,African-American,0,0,0,17,1,F,Felony Petit Theft,7
Male,27,25 - 45,African-American,0,0,1,8,1,F,Poss Cocaine/Intent To Del/Sel,7
Male,22,Less than 25,Caucasian,0,0,0,1,1,F,Grand Theft in the 3rd Degree,9
Male,36,25 - 45,Caucasian,0,0,0,9,42,F,Driving While License Revoked,7
Male,40,25 - 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,30,25 - 45,Caucasian,0,0,0,1,0,M,Expired DL More Than 6 Months,8
Male,42,25 - 45,African-American,0,0,0,1,1,F,arrest case no charge,1
Male,24,Less than 25,African-American,0,0,1,2,0,F,False Ownership Info/Pawn Item,3
Male,46,Greater than 45,Caucasian,0,0,0,4,5,F,Video Voyeur-<24Y on Child >16,2
Male,38,25 - 45,African-American,0,0,0,4,1,F,Sell or Offer for Sale Counterfeit Goods,3
Male,39,25 - 45,Hispanic,0,0,0,2,114,F,Crimin Mischief Damage $1000+,1
Female,32,25 - 45,Hispanic,0,0,0,0,1,M,Lve/Scen/Acc/Veh/Prop/Damage,3
Male,26,25 - 45,Caucasian,0,0,0,0,1,M,Grand Theft (Motor Vehicle),5
Male,54,Greater than 45,Caucasian,0,0,0,1,1,M,Battery,1
Male,27,25 - 45,Hispanic,0,0,0,2,10,F,Lewd/Lasc Battery Pers 12+/<16,3
Male,61,Greater than 45,Caucasian,0,0,0,1,0,F,arrest case no charge,4
Male,51,Greater than 45,African-American,0,0,0,1,1,M,Possess Cannabis/20 Grams Or Less,4
Male,57,Greater than 45,Caucasian,0,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,1
Male,24,Less than 25,Caucasian,0,0,3,3,1,M,Battery,5
Male,34,25 - 45,African-American,0,0,0,1,1,F,arrest case no charge,1
Male,27,25 - 45,Hispanic,0,0,0,1,1,F,Throw Missile Into Pub/Priv Dw,2
Female,28,25 - 45,African-American,0,0,0,10,36,M,Operating W/O Valid License,7
Male,35,25 - 45,African-American,0,0,0,10,1,M,Viol Prot Injunc Repeat Viol,8
Male,30,25 - 45,African-American,0,0,0,6,0,F,Driving While License Revoked,6
Male,53,Greater than 45,Other,0,0,0,1,92,F,arrest case no charge,5
Male,44,25 - 45,African-American,0,0,0,0,1,F,Robbery / No Weapon,1
Male,57,Greater than 45,Caucasian,0,0,0,3,1117,M,Posses/Disply Susp/Revk/Frd DL,3
Male,61,Greater than 45,Caucasian,0,0,0,10,1,F,Burglary Conveyance Unoccup,6
Male,26,25 - 45,African-American,0,0,0,1,1,F,arrest case no charge,9
Male,48,Greater than 45,African-American,1,0,0,10,1,F,Felony Driving While Lic Suspd,7
Male,42,25 - 45,African-American,0,0,0,4,2009,M,Driving License Suspended,1
Male,38,25 - 45,Caucasian,0,0,0,10,1,F,Possession of Cocaine,8
Male,39,25 - 45,African-American,0,0,0,4,0,F,Grand Theft in the 3rd Degree,2
Female,53,Greater than 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,26,25 - 45,African-American,0,0,0,3,1,M,Poss Of Controlled Substance,10
Male,22,Less than 25,African-American,0,0,0,1,1,F,Burglary Unoccupied Dwelling,7
Male,50,Greater than 45,Caucasian,0,0,0,0,1,F,Grand Theft in the 3rd Degree,7
Male,44,25 - 45,Caucasian,3,0,0,16,1,M,Driving Under The Influence,7
Male,24,Less than 25,African-American,0,1,3,4,1,F,Agg Assault W/int Com Fel Dome,6
Male,21,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,7
Male,50,Greater than 45,Caucasian,0,0,0,0,1,F,Possession of Cocaine,1
Female,36,25 - 45,Caucasian,0,0,0,0,0,M,Battery,1
Male,39,25 - 45,Caucasian,0,0,0,0,1,F,arrest case no charge,3
Female,24,Less than 25,African-American,0,0,0,2,90,F,Crim Use Of Personal Id Info,4
Female,54,Greater than 45,African-American,0,0,0,7,1,F,Fraudulent Use of Credit Card,6
Male,29,25 - 45,African-American,0,0,0,0,1,M,Resist Officer w/Violence,2
Male,26,25 - 45,Caucasian,0,0,0,0,1,M,Battery,6
Male,41,25 - 45,African-American,0,0,0,3,1,F,Felony Driving While Lic Suspd,4
Male,23,Less than 25,African-American,0,0,0,1,1,F,Grand Theft in the 3rd Degree,6
Male,34,25 - 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,31,25 - 45,Caucasian,0,0,0,11,1,F,False Ownership Info/Pawn Item,7
Male,20,Less than 25,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,3
Male,49,Greater than 45,African-American,0,0,0,10,1,F,arrest case no charge,6
Male,26,25 - 45,African-American,0,0,0,4,0,F,Possession Of Methamphetamine,8
Male,28,25 - 45,African-American,0,0,0,1,1,F,Possession of Cocaine,4
Male,26,25 - 45,African-American,0,0,0,0,1,F,Grand Theft in the 3rd Degree,2
Male,55,Greater than 45,African-American,0,0,0,1,1,F,Possession of Cocaine,4
Male,22,Less than 25,African-American,0,0,0,0,1,M,Prowling/Loitering,9
Female,26,25 - 45,African-American,0,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,4
Male,56,Greater than 45,Other,0,0,0,0,0,M,Battery,1
Male,66,Greater than 45,Caucasian,0,0,0,1,1,F,arrest case no charge,1
Male,46,Greater than 45,Other,0,0,0,2,1,F,Possession Of Diazepam,3
Male,58,Greater than 45,African-American,0,0,0,16,1,F,arrest case no charge,6
Male,28,25 - 45,African-American,0,0,0,4,1,F,Burglary Structure Assault/Batt,7
Male,33,25 - 45,African-American,0,0,0,8,1,F,Possession of Oxycodone,6
Female,31,25 - 45,African-American,0,0,0,0,1,M,Battery,2
Male,26,25 - 45,African-American,0,0,0,1,0,M,Poss Of Controlled Substance,5
Male,35,25 - 45,African-American,0,0,0,4,722,M,Poss Of Controlled Substance,5
Female,41,25 - 45,Caucasian,0,0,0,12,45,F,Felony Battery w/Prior Convict,7
Male,34,25 - 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,33,25 - 45,Other,0,0,0,0,1,F,Sell or Offer for Sale Counterfeit Goods,1
Female,32,25 - 45,African-American,0,0,0,0,1,F,Felony Driving While Lic Suspd,2
Male,37,25 - 45,African-American,0,0,0,9,1,F,Poss Cocaine/Intent To Del/Sel,6
Male,50,Greater than 45,African-American,0,0,0,1,22,F,Possession of Cocaine,5
Male,35,25 - 45,Caucasian,0,0,0,1,1,F,arrest case no charge,2
Female,47,Greater than 45,Caucasian,0,0,0,0,6,M,Prostitution/Lewd Act Assignation,3
Female,52,Greater than 45,African-American,0,0,0,8,1,F,arrest case no charge,9
Male,26,25 - 45,African-American,0,1,2,5,1,F,Shoot In Occupied Dwell,7
Male,36,25 - 45,African-American,0,0,0,1,3665,M,arrest case no charge,9
Male,45,Greater than 45,African-American,0,0,0,13,1,F,Felony Driving While Lic Suspd,1
Male,19,Less than 25,Other,0,0,0,0,1,M,Battery,9
Male,41,25 - 45,African-American,0,0,0,8,1,F,Driving While License Revoked,2
Male,24,Less than 25,African-American,0,0,0,0,1,M,Battery,2
Male,21,Less than 25,African-American,0,1,0,1,1,F,Robbery / No Weapon,9
Male,54,Greater than 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,49,Greater than 45,Caucasian,0,0,0,0,1,F,Grand Theft (Motor Vehicle),1
Male,42,25 - 45,Caucasian,0,0,0,1,0,F,arrest case no charge,2
Male,21,Less than 25,African-American,0,0,0,1,0,F,Possession of Cocaine,4
Male,61,Greater than 45,African-American,0,0,0,30,56,F,arrest case no charge,4
Male,46,Greater than 45,Caucasian,0,0,0,5,0,F,Battery On A Person Over 65,8
Male,74,Greater than 45,Caucasian,0,0,0,0,1,M,DUI - Enhanced,1
Female,38,25 - 45,Hispanic,0,0,0,0,0,F,Possession of Cannabis,1
Male,75,Greater than 45,Caucasian,0,0,0,2,58,M,Driving License Suspended,1
Female,39,25 - 45,African-American,0,0,0,1,0,F,arrest case no charge,1
Female,38,25 - 45,African-American,0,0,0,0,1,F,arrest case no charge,1
Male,19,Less than 25,African-American,1,0,1,1,1,F,arrest case no charge,7
Male,28,25 - 45,Caucasian,0,0,0,0,1,F,Burglary Unoccupied Dwelling,2
Male,53,Greater than 45,African-American,0,0,0,2,1596,F,arrest case no charge,1
Male,25,25 - 45,African-American,0,0,0,1,1,F,Fleeing or Eluding a LEO,6
Male,53,Greater than 45,Caucasian,0,0,0,1,1,M,DUI Property Damage/Injury,1
Male,53,Greater than 45,African-American,0,0,0,4,381,F,Grand Theft in the 3rd Degree,7
Male,23,Less than 25,African-American,0,1,0,2,1,F,Burglary Unoccupied Dwelling,9
Male,55,Greater than 45,Caucasian,0,0,0,33,1,F,Felony Petit Theft,9
Female,64,Greater than 45,Caucasian,0,0,0,1,1,F,arrest case no charge,1
Male,23,Less than 25,African-American,0,0,0,1,1,M,Battery,7
Male,38,25 - 45,Hispanic,0,0,0,1,94,M,Driving Under The Influence,1
Male,23,Less than 25,African-American,0,0,2,4,1,F,Possession of Cannabis,8
Female,41,25 - 45,Hispanic,0,0,0,0,1,F,Burglary Structure Unoccup,1
Male,53,Greater than 45,Other,0,0,0,0,0,M,Driving Under The Influence,1
Male,34,25 - 45,African-American,0,0,0,0,1,F,Battery on a Person Over 65,1
Male,24,Less than 25,Hispanic,0,0,0,0,1,F,Felony Battery (Dom Strang),1
Male,26,25 - 45,African-American,0,0,0,1,1,M,Criminal Mischief Damage <$200,1
Male,44,25 - 45,Caucasian,0,0,0,4,1,F,Driving While License Revoked,2
Female,27,25 - 45,Caucasian,0,0,0,0,1,F,Aggrav Battery w/Deadly Weapon,2
Male,28,25 - 45,Caucasian,0,0,0,14,1,F,Pos Cannabis W/Intent Sel/Del,9
Male,55,Greater than 45,Caucasian,0,0,0,1,1,M,DUI Property Damage/Injury,1
Female,22,Less than 25,African-American,0,0,0,2,60,F,arrest case no charge,4
Male,36,25 - 45,African-American,0,0,0,15,0,F,arrest case no charge,5
Male,29,25 - 45,African-American,0,0,0,6,236,F,Fail To Redeliver Hire Prop,8
Male,23,Less than 25,African-American,0,0,0,1,1,F,arrest case no charge,4
Male,56,Greater than 45,African-American,0,0,0,1,1,M,Driving Under The Influence,1
Male,27,25 - 45,Caucasian,0,0,0,2,1,F,Possession Of Alprazolam,6
Male,37,25 - 45,Caucasian,0,0,0,1,1,M,Battery,6
Male,32,25 - 45,African-American,0,0,0,1,1,F,Leaving the Scene of Accident,8
Male,41,25 - 45,African-American,2,0,0,18,1,M,Unlaw Use False Name/Identity,10
Male,22,Less than 25,African-American,0,0,0,1,1,F,Battery on Law Enforc Officer,6
Male,37,25 - 45,Caucasian,0,0,0,1,1,F,Possession of Cocaine,2
Male,45,Greater than 45,African-American,0,0,0,3,0,M,Viol Pretrial Release Dom Viol,2
Female,31,25 - 45,African-American,0,0,0,14,1,F,Aggravated Assault,8
Male,42,25 - 45,African-American,0,0,0,7,1,F,Felony Battery (Dom Strang),5
Male,26,25 - 45,African-American,0,2,2,20,1,F,Grand Theft (Motor Vehicle),9
Male,33,25 - 45,Caucasian,0,0,0,0,1,F,"Deliver 3,4 Methylenediox",9
Male,22,Less than 25,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,2
Male,32,25 - 45,Caucasian,0,0,0,2,62,F,Resist Officer w/Violence,5
Female,36,25 - 45,African-American,0,0,0,1,1,M,Battery,1
Male,54,Greater than 45,Caucasian,0,0,0,0,0,M,Prostitution/Lewd Act Assignation,1
Male,25,25 - 45,African-American,0,1,2,5,1,F,arrest case no charge,9
Male,24,Less than 25,Caucasian,0,0,0,3,1,F,Grand Theft in the 3rd Degree,5
Male,23,Less than 25,Hispanic,0,0,0,0,1,M,Leaving Acc/Unattended Veh,7
Male,61,Greater than 45,Caucasian,0,0,0,0,0,M,Battery,1
Female,42,25 - 45,Caucasian,0,0,0,0,1,M,Driving Under The Influence,1
Male,28,25 - 45,Caucasian,0,0,0,1,1,M,DUI Property Damage/Injury,2
Male,27,25 - 45,African-American,0,0,0,1,1,M,Possess Cannabis/20 Grams Or Less,5
Male,24,Less than 25,Caucasian,0,0,0,2,18,M,Battery,3
Male,33,25 - 45,African-American,0,0,0,14,60,F,Possession of Oxycodone,5
Male,32,25 - 45,African-American,0,0,0,16,1,F,Driving While License Revoked,10
Male,38,25 - 45,Caucasian,0,0,0,0,7,F,Felony Battery (Dom Strang),1
